líon	lʲ iː n̪ˠ
déine	ˈdʲ iː nʲ ə
leáis	l̠ʲ ɑː ʃ
mbád	ˈmˠ ɑː d̪ˠ
caisleán	k ə ˈʃ lʲ ɑː n̪ˠ
deargadh	ˈdʲ a ɾˠ ə ɡ ə
inne	ˈɪ n̠ʲ ə
féilire	ˈfʲ eː lʲ ə ɾʲ ə
cata	ˈk ɑ t̪ˠ ə
tharlódh	ˈh ɑː ɾˠ l̪ˠ oː tʲ
speisialta	ˈsˠ pʲ ɛ ʃ i ə l̪ˠ t̪ˠ ə
gliocas	ˈɟ l ʊ k ə sˠ
tur	t̪ˠ ʊ ɾˠ
stádas	ˈsˠ t̪ˠ ɑː d̪ˠ ə sˠ
bhróga	ˈvˠ ɾˠ oː ɡ ə
eallach	ˈa l̪ˠ ə x
faighidh	ˈf ˈa i ə
prioc	pʲ ɾʲ ʊ k
féadaim	ˈfʲ eː d̪ˠ ə mʲ
bhlais	vˠ l̪ˠ a ʃ
conartha	ˈk ʌ n̪ˠ ə ɾˠ ə
cnocán	k n̪ˠ ə ˈk ɑː n̪ˠ
daichead	ˈd̪ˠ a . h ə d̪ˠ
go	ɡ ɔ
gcéibh	ˈɟ eː vʲ
muirir	ˈmˠ ɪ ɾʲ ə ɾʲ
alta	ˈa l̪ˠ t̪ˠ ə
eachtra	ˈa x t̪ˠ ɾˠ ə
Eabhrac	ˈə u ɾˠ ə k
liúr	lʲ uː ɾˠ
stadaim	ˈsˠ t̪ˠ ɑ d̪ˠ ə mʲ
coscairt	ˈk ɔ sˠ k ə ɾʲ tʲ
déarfadh	ˈdʲ eː ɾˠ h ə x
torann	ˈt̪ˠ ɔ ɾˠ ə n̪ˠ
moladh	ˈmˠ ɔ l̪ˠ ə
choscair	ˈx ɔ sˠ k ə ɾʲ
cháiliúil	x ɑː ˈlʲ uː lʲ
d'íosfadh	ˈdʲ iː s ə tʲ
Éirinn	ˈeː ɾʲ ə n̠ʲ
goib	ɡ ɪ bʲ
brón	bˠ ɾˠ oː n̪ˠ
ceonna	ˈc oː n̪ˠ ə
dhearnas	ˈj aː ɾˠ n̪ˠ ə sˠ
spéis	sˠ pʲ eː ʃ
seic	ʃ ɛ c
Naoise	ˈn̪ˠ iː ʃ ə
Adhamhnán	ˈiː nˠ a nˠ
gáire	ˈɡ ɑː ɾʲ ə
dhíot	j iː t̪ˠ
callóid	ˈk a u lˠ æ dʲ
biachlár	ˈbʲ i ə x lˠ ɑː ɾˠ
seanscéal	ʃ a n̪ˠ ˈʃ c i a l̪ˠ
cumas	ˈk ʊ mˠ ə sˠ
biail	bʲ i ə lʲ
dráma	ˈd̪ˠ ɾˠ ɑː mˠ ə
tafann	ˈt̪ˠ a u̯ h ə n̪ˠ t̪ˠ
tábhacht	t̪ˠ ɑː x t̪ˠ
anfa	ˈa nˠ ə fˠ ə
úsáideoir	uː ˈsˠ ɑː dʲ oː ɾʲ
imirt	ˈɪ mʲ ə ɾˠ tʲ
breoim	bʲ ɾʲ oː mʲ
Mícheál	ˈmʲ iː ɑː l̪ˠ
sealga	ˈʃ a l̪ˠ ə ɡ ə
cliabhrach	ˈc lʲ i ə vˠ ɾˠ ə x
spíon	sˠ pʲ iː n̪ˠ
pléigh	pʲ lʲ eː ɟ
abú	ə ˈbˠ uː
uaimse	ˈw æ mʲ ʃ ə
rópa	ˈɾˠ oː pˠ ə
crosta	ˈk rˠ ɔ s̪ˠ t̪ˠ ə
nóiméad	ˈn̪ˠ uː mʲ eː d̪ˠ
gort	ɡ ʌ ɾˠ t̪ˠ
spealadóir	sˠ pʲ a l̪ˠ ə ˈd̪ˠ oː ɾʲ
feadha	fʲ ɑː
amhráin	ə u ˈɾˠ ɑː nʲ
tagtar	ˈt̪ˠ a ɡ t̪ˠ ə ɾˠ
préachán	pʲ ɾʲ iː ˈx ɑː n̪ˠ
goirid	ˈɡ ɨ̞ ɾʲ ə dʲ
conairt	ˈk ɔ n̪ˠ ə ɾˠ tʲ
brúitín	bˠ ɾˠ uː ˈtʲ iː nʲ
buaigh	bˠ u ə ɟ
pós	pˠ oː sˠ
féarach	ˈfʲ i a r ə x
bun	bˠ ʊ n̪ˠ
anagheairid	ɑ n ɑ ˈj a ɾʲ ə dʲ
tair	t̪ˠ a ɾʲ
píb	pʲ iː bʲ
beorach	ˈbʲ oː ɾˠ ə x
faigh	fˠ ə i
gréasáin	ɟ ɾ i a ˈsˠ ɑː nʲ
ceap	c a pˠ
maireachtáil	ˈmˠ a ɾʲ ə x t̪ˠ ɑː lʲ
suíomh	sˠ iː vˠ
pictiúr	pʲ ɪ c ˈtʲ uː ɾʲ
éagaoin	ˈeː ɡ iː nʲ
áibhéis	ˈaː vʲ ɛ ʃ
lios	l̠ʲ ɪ sˠ
tslabhradh	ˈt̪ˠ lˠ a u ɾˠ u
deol	dʲ oː l̪ˠ
cnáimh	k n̪ˠ ɑː vʲ
smigín	sˠ mʲ ɪ ˈɟ iː nʲ
fiar	fʲ i ə ɾˠ
bua	bˠ u ə
ríomh	ɾˠ iː vˠ
briste	ˈbʲ ɾʲ ɪ ʃ tʲ ə
amscaí	ˈa mˠ sˠ k iː
chistin	ˈç ɪ ʃ tʲ ə nʲ
maise	ˈmˠ a ʃ ə
ach	ɑ x
thorann	ˈh ɔ ɾˠ ə n̪ˠ
dreoite	ˈdʲ ɾʲ oː tʲ ə
mire	ˈmʲ ɪ ɾʲ ə
rua	ɾˠ u ə
